timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1656434172219,2,HTTP Request,200,OK,Thread Group Start 1-150,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172222,2,HTTP Request,200,OK,Thread Group Start 1-151,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172225,2,HTTP Request,200,OK,Thread Group Start 1-152,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172229,2,HTTP Request,200,OK,Thread Group Start 1-153,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172233,3,HTTP Request,200,OK,Thread Group Start 1-154,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,1
1656434172237,3,HTTP Request,200,OK,Thread Group Start 1-155,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,2
1656434172241,5,HTTP Request,200,OK,Thread Group Start 1-156,text,true,,183,180,2,2,http://localhost:5165/api/authentication/entermarket,5,0,3
1656434172246,4,HTTP Request,200,OK,Thread Group Start 1-157,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,4,0,2
1656434172252,4,HTTP Request,200,OK,Thread Group Start 1-158,text,true,,183,180,2,2,http://localhost:5165/api/authentication/entermarket,4,0,1
1656434172257,5,HTTP Request,200,OK,Thread Group Start 1-159,text,true,,183,180,2,2,http://localhost:5165/api/authentication/entermarket,5,0,1
1656434172261,7,HTTP Request,200,OK,Thread Group Start 1-160,text,true,,183,180,2,2,http://localhost:5165/api/authentication/entermarket,7,0,2
1656434172265,7,HTTP Request,200,OK,Thread Group Start 1-161,text,true,,183,180,2,2,http://localhost:5165/api/authentication/entermarket,7,0,5
1656434172272,4,HTTP Request,200,OK,Thread Group Start 1-162,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,4,0,2
1656434172278,4,HTTP Request,200,OK,Thread Group Start 1-163,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,4,0,1
1656434172286,4,HTTP Request,200,OK,Thread Group Start 1-164,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,4,0,1
1656434172291,4,HTTP Request,200,OK,Thread Group Start 1-165,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,4,0,2
1656434172296,4,HTTP Request,200,OK,Thread Group Start 1-166,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,2
1656434172302,3,HTTP Request,200,OK,Thread Group Start 1-167,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,1
1656434172307,2,HTTP Request,200,OK,Thread Group Start 1-168,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172311,3,HTTP Request,200,OK,Thread Group Start 1-169,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,2
1656434172316,2,HTTP Request,200,OK,Thread Group Start 1-170,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172320,3,HTTP Request,200,OK,Thread Group Start 1-171,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172324,3,HTTP Request,200,OK,Thread Group Start 1-172,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,1
1656434172329,3,HTTP Request,200,OK,Thread Group Start 1-173,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,1
